,source,author,title,description,url,urlToImage,publishedAt,content
20,,The New York Times,Covid-19 Live Updates: Trump Tests Positive for the Coronavirus,The president tested positive for coronavirus hours after insisting that “the end of the pandemic is in sight.” The news caused a plunge in global financial markets.,https://www.nytimes.com/live/2020/10/02/world/covid-19-coronavirus,https://static01.nyt.com/images/2020/10/02/world/02virus-briefing-reax-trump/merlin_177879507_1782528b-feaf-4dc1-b588-bf590dbe7a2e-facebookJumbo.jpg,2020-10-02T06:33:23Z,"President Trumps announcement that he had tested positive for the coronavirus caused global financial markets to plunge and set off a wave of reactions fromleaders around the world.
Futures markets … [+4633 chars]"
21,New York Times,The New York Times,Covid-19 Live Updates: Trump Tests Positive for the Coronavirus,The president tested positive for coronavirus hours after insisting that “the end of the pandemic is in sight.” The news caused a plunge in global financial markets.,https://www.nytimes.com/live/2020/10/02/world/covid-19-coronavirus,https://static01.nyt.com/images/2020/10/02/world/02virus-briefing-reax-trump/merlin_177879507_1782528b-feaf-4dc1-b588-bf590dbe7a2e-facebookJumbo.jpg,2020-10-02T06:33:23Z,"President Trumps announcement that he had tested positive for the coronavirus caused global financial markets to plunge and set off a wave of reactions fromleaders around the world.
Futures markets … [+4633 chars]"
22,bbc-news,,Coronavirus: Dutch drinkers party before new Covid rules kick in,Hospitality industry put under stricter coronavirus rules in the Netherlands.,https://www.bbc.co.uk/news/world-europe-54551673,,2020-10-15T11:32:15Z,
23,BBC News,,Coronavirus: Dutch drinkers party before new Covid rules kick in,Hospitality industry put under stricter coronavirus rules in the Netherlands.,https://www.bbc.co.uk/news/world-europe-54551673,,2020-10-15T11:32:15Z,
24,,Alyse Stanley,"Nearly 20,000 Amazon Employees Have Contracted Covid-19 This Year","Amazon finally released data on the number of coronavirus cases among its workforce, and it’s staggering: Nearly 20,000 U.S. employees have contracted the virus since March. Read more...",https://gizmodo.com/nearly-20-000-amazon-employees-have-contracted-covid-19-1845248452,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/vqwd6wkq3ch52fncouj7.jpg",2020-10-02T03:57:00Z,"Amazon finally released data on the number of coronavirus cases among its workforce, and its staggering: Nearly 20,000 U.S. employees have contracted the virus since March. 
The e-commerce giant sai… [+2762 chars]"
25,Gizmodo.com,Alyse Stanley,"Nearly 20,000 Amazon Employees Have Contracted Covid-19 This Year","Amazon finally released data on the number of coronavirus cases among its workforce, and it’s staggering: Nearly 20,000 U.S. employees have contracted the virus since March. Read more...",https://gizmodo.com/nearly-20-000-amazon-employees-have-contracted-covid-19-1845248452,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/vqwd6wkq3ch52fncouj7.jpg",2020-10-02T03:57:00Z,"Amazon finally released data on the number of coronavirus cases among its workforce, and its staggering: Nearly 20,000 U.S. employees have contracted the virus since March. 
The e-commerce giant sai… [+2762 chars]"
26,,Jody Serrano,This Dog Is Learning How to Detect Covid-19,"Can man’s best friend lend a hand, or a nose, to the fight against the novel coronavirus? The answer might be yes. Read more...",https://gizmodo.com/this-dog-is-learning-how-to-detect-covid-19-1845182911,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/ll8vwzgunxnr0pvshgkt.jpg",2020-09-27T19:30:00Z,"Can mans best friend lend a hand, or a nose, to the fight against the novel coronavirus? The answer might be yes.
There are variousongoingefforts to train sniffer dogs to detect covid-19, the diseas… [+580 chars]"
27,Gizmodo.com,Jody Serrano,This Dog Is Learning How to Detect Covid-19,"Can man’s best friend lend a hand, or a nose, to the fight against the novel coronavirus? The answer might be yes. Read more...",https://gizmodo.com/this-dog-is-learning-how-to-detect-covid-19-1845182911,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/ll8vwzgunxnr0pvshgkt.jpg",2020-09-27T19:30:00Z,"Can mans best friend lend a hand, or a nose, to the fight against the novel coronavirus? The answer might be yes.
There are variousongoingefforts to train sniffer dogs to detect covid-19, the diseas… [+580 chars]"
28,,Emma Goldberg,A New Test for SAT Takers: Covid-19,"The coronavirus presents a daunting new test for SAT takers, including our reporter, whose Princeton Review guides haven’t been cracked in years.",https://www.nytimes.com/2020/09/27/us/sat-test-coronavirus.html,https://static01.nyt.com/images/2020/09/27/us/27virus-sat-1/27virus-sat-1-facebookJumbo.jpg,2020-09-27T19:22:46Z,"Spring exam dates were canceled because of the pandemic, often with little notice, and the College Board, which produces the SAT, abandoned plans for an online, at-home option. When the board added a… [+2021 chars]"
29,New York Times,Emma Goldberg,A New Test for SAT Takers: Covid-19,"The coronavirus presents a daunting new test for SAT takers, including our reporter, whose Princeton Review guides haven’t been cracked in years.",https://www.nytimes.com/2020/09/27/us/sat-test-coronavirus.html,https://static01.nyt.com/images/2020/09/27/us/27virus-sat-1/27virus-sat-1-facebookJumbo.jpg,2020-09-27T19:22:46Z,"Spring exam dates were canceled because of the pandemic, often with little notice, and the College Board, which produces the SAT, abandoned plans for an online, at-home option. When the board added a… [+2021 chars]"
30,bbc-news,https://www.facebook.com/bbcnews,Tanzania President John Magufuli: The man who 'banned' coronavirus,President John Magufuli’s idiosyncratic handling of Covid-19 has put Tanzania in the global spotlight.,https://www.bbc.co.uk/news/world-africa-54603689,https://ichef.bbci.co.uk/news/1024/branded_news/9A67/production/_114972593_gettyimages-1228255389.jpg,2020-10-21T23:18:19Z,"By Basillioh MutahiBBC News, Nairobi
image copyrightGetty Images
Tanzania President John Magufuli's idiosyncratic handling of the coronavirus pandemic has put the country in the global spotlight. N… [+13280 chars]"
